concept_index,unique_id,concept,category_bottom_up,category_wordnet,category_manual,Percent_known,Concreteness (M),COCA word freq,SUBTLEX freq,categories_53,image-label_nameability_mean,image-label_consistency_mean,image-label_ratings-per-image_mean,property_manmade_mean,property_precious_mean,property_lives_mean,property_heavy_mean,property_natural_mean,property_moves_mean,property_grasp_mean,property_hold_mean,property_be-moved_mean,property_pleasant_mean,property_arousal_mean,property_arousal_work-time_mean
624,foam,foam,,,,1.0,4.85,3459.0,179.0,,0.624813668,0.629715629,17.91666667,6.8947,2.5,1.3947,1.5789,1.6579,2.2368,6.2632,6.1842,6.2368,4.6842,3.92,5112.76
625,folder,folder,office supply,,office supply,1.0,4.93,2848.0,83.0,office supply|school supply,0.705912453,0.705912453,18.0,6.8235,2.7353,1.2353,1.7059,2.4118,2.1471,6.4412,6.7059,6.6765,4.5294,3.58,5691.6
626,fondue,fondue,food,food,food,1.0,4.79,290.0,47.0,food,0.606995316,0.623918393,17.8,6.6579,3.7895,1.2105,1.7632,2.6053,2.4737,3.9474,3.7632,5.3684,5.9737,3.865384615,4265.615385
627,food_processor,food processor,kitchen appliance,kitchen appliance,"electronic device, kitchen appliance",1.0,4.89,,0.0,electronic device|home appliance|kitchen appliance,0.664740896,0.664740896,17.0,6.9737,2.9474,1.1579,3.1316,1.5789,4.0263,5.6579,5.8158,5.9474,4.8684,4.217391304,38903.08696
628,foot,foot,body part,body part,body part,1.0,4.9,107285.0,3311.0,body part,0.876036292,0.893893435,18.14285714,1.775,4.525,5.7,2.825,6.675,6.725,6.1,5.7,6.325,4.175,4.022222222,7160.444444
629,football,football,sports equipment,,sports equipment,1.0,4.73,25271.0,1914.0,sports equipment,0.97706685,0.97706685,18.33333333,6.8286,3.1143,1.2571,2.0857,2.3143,3.8286,5.9714,6.2857,6.5714,4.9143,3.959183673,5330.306122
630,football_helmet,football helmet,sports equipment,clothing,sports equipment,1.0,5.0,,0.0,headwear|protective clothing|safety equipment|sports equipment,0.413767185,0.605665589,17.625,6.725,3.55,1.4,3.525,1.475,2.0,5.925,6.15,6.15,4.45,3.977777778,8055.533332999999
631,footbath,footbath,,container,container,0.97,4.46,,4.0,container,0.424151832,0.401820319,17.25,6.4,3.7714,1.3714,4.7714,3.0571,2.2571,3.6286,2.9143,3.3714,6.3429,3.977272727,5790.886364
632,footprint,footprint,,,,1.0,4.37,2022.0,55.0,,0.709837175,0.709837175,18.4,6.5135,3.8378,1.6757,1.7027,5.2703,2.0541,1.973,1.8649,1.8919,4.8919,3.545454545,5939.886364
633,footrest,footrest,furniture,,furniture,0.93,4.67,116.0,5.0,furniture,0.142064055,0.371395196,18.16666667,6.7179,3.1026,1.3333,3.8718,1.9487,2.9744,5.3846,5.2821,5.4103,5.2821,4.2826086960000005,5381.826087
634,fork,fork,,,tool,1.0,4.9,7742.0,450.0,tool,0.967234262,0.967234262,17.66666667,6.8571,3.3143,1.3429,1.8857,1.8286,1.9429,6.5714,6.6571,6.7143,4.7714,4.74,5711.78
635,forklift,forklift,,"container, vehicle",vehicle,1.0,4.79,367.0,49.0,vehicle,0.853512355,0.849345689,17.58333333,6.7143,3.7429,1.2857,6.8571,1.3143,6.1714,2.5429,1.8,4.0286,4.1714,4.613636364,6617.795455
636,fossil,fossil,,,,1.0,4.9,4970.0,79.0,,0.689425849,0.689425849,17.25,1.4571,5.8857,2.0571,4.1143,6.5429,1.8857,4.0571,3.8571,3.8571,4.8857,4.456521738999999,6239.130435
637,fountain_pen,fountain pen,,,"office supply, tool",1.0,4.93,,0.0,arts and crafts supply|office supply|school supply|tool,0.268813209,0.494958147,18.26666667,6.8286,4.2,1.2,1.3429,1.6286,2.8857,6.6571,6.8286,6.8286,5.4571,4.085106383,4735.425532
638,fox,fox,animal,animal,animal,1.0,4.97,2524.0,1102.0,animal|mammal,0.942600834,0.942600834,18.1875,1.1053,5.5526,6.8421,4.2895,6.6579,6.7632,2.5,2.5526,3.0,5.0789,4.914893617,7061.5319150000005
639,frame,frame,home decor,,home decor,1.0,4.3,20016.0,719.0,home decor,0.895382554,0.895382554,18.0,6.6316,4.1316,1.2895,2.8158,2.3684,1.7895,5.8947,6.1579,6.0,4.8421,4.02173913,4392.195652
640,freezer,freezer,kitchen appliance,,"electronic device, kitchen appliance",1.0,4.87,2654.0,263.0,electronic device|home appliance|kitchen appliance,0.873805326,0.873805326,17.75,6.8974,3.5385,1.0769,6.8462,1.4359,1.3333,2.9231,1.5897,1.9487,4.5128,4.020833333,12989.35417
641,french_fries,french fries,food,"food, vegetable",food,1.0,4.87,,0.0,breakfast food|food,0.676773377,0.686032637,17.5,6.2368,3.8421,1.4211,1.7105,4.1316,1.4737,6.4211,6.8158,6.6053,6.1053,3.833333333,6393.619048
642,french_horn,french horn,musical instrument,musical instrument,musical instrument,1.0,5.0,,0.0,musical instrument,0.610190918,0.610190918,18.16666667,6.8421,4.5789,1.2632,4.0526,1.6842,2.2632,5.1053,5.2632,5.4737,5.4211,4.34,3978.94
643,frisbee,frisbee,"sports equipment, toy",toy,"toy, sports equipment",1.0,4.7,115.0,95.0,sports equipment|toy,0.906568556,0.906568556,18.0,6.8158,2.5263,1.1579,1.3947,1.4474,4.2632,6.7105,6.8158,6.7632,5.4737,4.023255814,5160.976744
644,frog,frog,,animal,animal,1.0,5.0,4403.0,603.0,animal,0.963168378,0.963168378,17.0,1.3158,4.8421,6.8684,2.1579,6.7895,6.7368,3.6316,4.1316,4.8684,4.4737,4.826923077,6069.615385
645,fruit,fruit,food,,"food, fruit",1.0,4.81,22401.0,1108.0,food|fruit,0.945390437,0.945390437,18.16666667,1.6842,4.9474,5.1842,3.1842,6.7105,2.3421,6.1316,6.3158,6.2105,5.8947,3.652173913,5566.456522
646,fruitcake,fruitcake,dessert,,"food, dessert",1.0,4.62,271.0,105.0,dessert|food,0.321684368,0.424625545,17.66666667,6.7632,3.4211,1.2895,2.5526,3.0526,1.3421,6.0789,6.2895,6.1842,4.4211,4.66,5116.32
647,fudge,fudge,dessert,food,"food, dessert",1.0,4.89,742.0,185.0,candy|dessert|food,0.694232825,0.694232825,17.78571429,6.7895,4.5263,1.5526,2.1053,3.6579,1.8158,6.3158,6.5,6.6316,6.0263,3.466666667,4400.466667000001
648,fungus,fungus,,,,1.0,4.59,2934.0,112.0,,0.28684103,0.545784959,18.33333333,1.2,3.65,6.875,1.85,6.95,3.35,5.75,6.125,5.425,3.4,3.921568627,5471.352940999999
649,funnel,funnel,"tool, kitchen tool",,"kitchen tool, tool",1.0,4.52,1273.0,56.0,kitchen tool|scientific equipment|tool,0.873608244,0.873608244,17.66666667,6.7297,2.2432,1.1081,1.2432,1.3243,1.4595,6.6486,6.7027,6.7838,4.4324,3.934782609,7879.326087
650,fur_coat,fur coat,clothing,clothing,clothing,1.0,4.83,,0.0,clothing|outerwear,0.676500688,0.732056244,18.66666667,6.0,4.5946,1.6216,4.0811,4.3243,2.1622,5.4054,5.8378,6.1081,4.2973,4.081632653,11172.5102
