model,test_top1,test_top5,image_retrieval_hit@1,image_retrieval_hit@5,image_retrieval_hit@10,image_to_concept_hit@1,image_to_concept_hit@5,image_to_concept_num_images,category_knn@5,category_linear_probe_53,nameability_mean_spearman,lexical_concept_mean_spearman,object_properties_mean_spearman,human_similarity_pair_spearman,delta_vs_baseline_test_top1,delta_vs_baseline_test_top5,delta_vs_baseline_image_retrieval_hit@1,delta_vs_baseline_image_retrieval_hit@5,delta_vs_baseline_image_retrieval_hit@10,delta_vs_baseline_image_to_concept_hit@1,delta_vs_baseline_image_to_concept_hit@5,delta_vs_baseline_image_to_concept_num_images,delta_vs_baseline_category_knn@5,delta_vs_baseline_category_linear_probe_53,delta_vs_baseline_nameability_mean_spearman,delta_vs_baseline_lexical_concept_mean_spearman,delta_vs_baseline_object_properties_mean_spearman,delta_vs_baseline_human_similarity_pair_spearman,delta_vs_shuffled_test_top1,delta_vs_shuffled_image_retrieval_hit@1,delta_vs_shuffled_image_to_concept_hit@1,delta_vs_shuffled_category_linear_probe_53,delta_vs_shuffled_nameability_mean_spearman,delta_vs_shuffled_lexical_concept_mean_spearman,delta_vs_shuffled_object_properties_mean_spearman,delta_vs_shuffled_human_similarity_pair_spearman
baseline,0.7274490785645005,0.9110087293889427,0.7266192196273381,0.8887736490111227,0.9310468152068954,0.884,0.9813333333333333,3000,0.48342541436464087,0.49171697888080185,0.09981144117854329,0.11658271141752823,0.5793483725141171,0.4173032134130256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015518913676042634,-0.015700439898429952,-0.009333333333333305,0.0006872688223363288,-0.00610949178377794,0.002419239134739598,0.00419514662714382,0.029351256069249543
human_informed,0.7429679922405431,0.918525703200776,0.7422123672257788,0.8997889918100211,0.9385572762061443,0.8933333333333333,0.9836666666666667,3000,0.48687845303867405,0.4903376685359742,0.10565501715448894,0.11420041298436864,0.5751865619613469,0.389748921075018,0.015518913676042634,0.00751697381183325,0.01559314759844066,0.011015342798898486,0.007510460999248902,0.009333333333333305,0.0023333333333334094,0.0,0.003453038674033182,-0.0013793103448276334,0.005843575975945647,-0.0023822984331595826,-0.0041618105527702065,-0.027554292338007602,0.0,-0.00010729229998929224,0.0,-0.0006920415224913046,-0.00026591580783229263,3.69407015800155e-05,3.33360743736133e-05,0.0017969637312419406
shuffled_control,0.7429679922405431,0.9182832201745877,0.7423196595257681,0.8998962841100103,0.9384857480061515,0.8933333333333333,0.9833333333333333,3000,0.48756906077348067,0.4910297100584655,0.10592093296232123,0.11416347228278863,0.5751532258869733,0.3879519573437761,0.015518913676042634,0.007274490785645016,0.015700439898429952,0.011122635098887668,0.007438932799256115,0.009333333333333305,0.0020000000000000018,0.0,0.004143646408839796,-0.0006872688223363288,0.00610949178377794,-0.002419239134739598,-0.00419514662714382,-0.029351256069249543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
